,Complaints,Violations,Gap
"117 WEST 122 STREET New York, NY 10027",0.0,2.0,-2.0
"117 WEST 123 STREET New York, NY 10027",1.0,0.0,1.0
"117 WEST 132 STREET New York, NY 10027",0.0,2.0,-2.0
"117 WEST 138 STREET New York, NY 10030",0.0,2.0,-2.0
"117 WEST 141 STREET New York, NY 10030",63.0,27.0,36.0
"117 WEST 142 STREET New York, NY 10030",1.0,4.0,-3.0
"117 WEST 15 STREET New York, NY 10011",10.0,30.0,-20.0
"117 WEST 39 STREET New York, NY 10018",2.0,0.0,2.0
"117 WEST 57 STREET New York, NY 10019",0.0,1.0,-1.0
"117 WEST 58 STREET New York, NY 10019",19.0,2.0,17.0
"117 WEST 74 STREET New York, NY 10023",2.0,2.0,0.0
"117 WEST 79 STREET New York, NY 10024",1.0,2.0,-1.0
"117 WEST 81 STREET New York, NY 10024",0.0,2.0,-2.0
"117 WEST 82 STREET New York, NY 10024",0.0,2.0,-2.0
"117 WEST 87 STREET New York, NY 10024",0.0,1.0,-1.0
"117 WEST 92 STREET New York, NY 10025",0.0,1.0,-1.0
"117 WEST 95 STREET New York, NY 10025",0.0,1.0,-1.0
"117 WEST 96 STREET New York, NY 10025",5.0,12.0,-7.0
"1171 2 AVENUE New York, NY 10065",0.0,1.0,-1.0
"1175 3 AVENUE New York, NY 10065",1.0,0.0,1.0
"1175 YORK AVENUE New York, NY 10065",1.0,0.0,1.0
"1177 2 AVENUE New York, NY 10065",0.0,1.0,-1.0
"118 1 AVENUE New York, NY 10009",2.0,5.0,-3.0
"118 AVENUE C New York, NY 10009",0.0,1.0,-1.0
"118 CENTRAL PARK SOUTH New York, NY 10019",1.0,1.0,0.0
"118 CHARLES STREET New York, NY 10014",0.0,2.0,-2.0
"118 DUANE STREET New York, NY 10007",2.0,2.0,0.0
"118 EAST 1 STREET New York, NY 10009",0.0,1.0,-1.0
"118 EAST 10 STREET New York, NY 10003",0.0,2.0,-2.0
"118 EAST 102 STREET New York, NY 10029",2.0,1.0,1.0
"118 EAST 103 STREET New York, NY 10029",50.0,85.0,-35.0
"118 EAST 116 STREET New York, NY 10029",2.0,1.0,1.0
"118 EAST 125 STREET New York, NY 10035",1.0,0.0,1.0
"118 EAST 18 STREET New York, NY 10003",0.0,2.0,-2.0
"118 EAST 38 STREET New York, NY 10016",1.0,1.0,0.0
"118 EAST 4 STREET New York, NY 10003",25.0,15.0,10.0
"118 EAST 40 STREET New York, NY 10016",0.0,2.0,-2.0
"118 EAST 60 STREET New York, NY 10022",0.0,1.0,-1.0
"118 EAST 7 STREET New York, NY 10009",2.0,0.0,2.0
"118 EAST 73 STREET New York, NY 10021",0.0,1.0,-1.0
"118 EAST 93 STREET New York, NY 10128",1.0,0.0,1.0
"118 ELIZABETH STREET New York, NY 10013",2.0,2.0,0.0
"118 FORSYTH STREET New York, NY 10002",0.0,1.0,-1.0
"118 FT WASHINGTON AVENUE New York, NY 10032",12.0,1.0,11.0
"118 MAC DOUGAL STREET New York, NY 10012",4.0,2.0,2.0
"118 MULBERRY STREET New York, NY 10013",0.0,1.0,-1.0
"118 NAGLE AVENUE New York, NY 10040",2.0,0.0,2.0
"118 PARK AVENUE New York, NY 10017",1.0,0.0,1.0
"118 PERRY STREET New York, NY 10014",0.0,1.0,-1.0
"118 POST AVENUE New York, NY 10034",5.0,20.0,-15.0
"118 REAR MULBERRY STREET New York, NY 10013",0.0,1.0,-1.0
"118 SPRING STREET New York, NY 10012",3.0,10.0,-7.0
"118 SUFFOLK STREET New York, NY 10002",1.0,0.0,1.0
"118 VERMILYEA AVENUE New York, NY 10034",74.0,162.0,-88.0
"118 WAVERLY PLACE New York, NY 10011",0.0,2.0,-2.0
"118 WEST 109 STREET New York, NY 10025",2.0,0.0,2.0
"118 WEST 111 STREET New York, NY 10026",0.0,2.0,-2.0
"118 WEST 114 STREET New York, NY 10026",1.0,8.0,-7.0
"118 WEST 117 STREET New York, NY 10026",0.0,2.0,-2.0
"118 WEST 118 STREET New York, NY 10026",0.0,2.0,-2.0
"118 WEST 120 STREET New York, NY 10027",9.0,5.0,4.0
"118 WEST 121 STREET New York, NY 10027",0.0,1.0,-1.0
"118 WEST 130 STREET New York, NY 10027",0.0,1.0,-1.0
"118 WEST 131 STREET New York, NY 10027",0.0,1.0,-1.0
"118 WEST 132 STREET New York, NY 10027",0.0,2.0,-2.0
"118 WEST 133 STREET New York, NY 10030",0.0,1.0,-1.0
"118 WEST 136 STREET New York, NY 10030",0.0,2.0,-2.0
"118 WEST 137 STREET New York, NY 10030",18.0,42.0,-24.0
"118 WEST 139 STREET New York, NY 10030",0.0,3.0,-3.0
"118 WEST 71 STREET New York, NY 10023",0.0,1.0,-1.0
"118 WEST 75 STREET New York, NY 10023",1.0,0.0,1.0
"118 WEST 81 STREET New York, NY 10024",0.0,2.0,-2.0
"118 WEST 83 STREET New York, NY 10024",1.0,1.0,0.0
"118-124 EAST 111 STREET New York, NY 10029",1.0,0.0,1.0
"1180 2 AVENUE New York, NY 10065",1.0,0.0,1.0
"1181 AMSTERDAM AVENUE New York, NY 10027",0.0,7.0,-7.0
"1185 PARK AVENUE New York, NY 10128",0.0,1.0,-1.0
"1186 BROADWAY New York, NY 10001",6.0,3.0,3.0
"119 2 AVENUE New York, NY 10003",0.0,4.0,-4.0
"119 7 AVENUE New York, NY 10011",1.0,1.0,0.0
"119 AUDUBON AVENUE New York, NY 10032",1.0,0.0,1.0
"119 AVENUE D New York, NY 10009",1.0,0.0,1.0
"119 BAXTER STREET New York, NY 10013",0.0,1.0,-1.0
"119 CHRISTOPHER STREET New York, NY 10014",39.0,86.0,-47.0
"119 EAST 100 STREET New York, NY 10029",18.0,72.0,-54.0
"119 EAST 102 STREET New York, NY 10029",11.0,19.0,-8.0
"119 EAST 17 STREET New York, NY 10003",0.0,2.0,-2.0
"119 EAST 29 STREET New York, NY 10016",0.0,2.0,-2.0
"119 EAST 30 STREET New York, NY 10016",3.0,3.0,0.0
"119 EAST 31 STREET New York, NY 10016",1.0,1.0,0.0
"119 EAST 60 STREET New York, NY 10022",0.0,1.0,-1.0
"119 EAST 64 STREET New York, NY 10065",0.0,1.0,-1.0
"119 EAST 83 STREET New York, NY 10028",9.0,1.0,8.0
"119 EAST 84 STREET New York, NY 10028",0.0,1.0,-1.0
"119 EAST 96 STREET New York, NY 10128",1.0,0.0,1.0
"119 EAST 97 STREET New York, NY 10029",31.0,10.0,21.0
"119 ELIZABETH STREET New York, NY 10013",3.0,6.0,-3.0
"119 ESSEX STREET New York, NY 10002",0.0,2.0,-2.0
"119 HENRY STREET New York, NY 10002",3.0,24.0,-21.0
"119 HESTER STREET New York, NY 10002",14.0,13.0,1.0
"119 LEXINGTON AVENUE New York, NY 10016",1.0,2.0,-1.0
"119 LUDLOW STREET New York, NY 10002",0.0,2.0,-2.0
"119 MADISON AVENUE New York, NY 10016",6.0,2.0,4.0
"119 MORTON STREET New York, NY 10014",0.0,1.0,-1.0
"119 MOTT STREET New York, NY 10013",0.0,1.0,-1.0
"119 MULBERRY STREET New York, NY 10013",0.0,1.0,-1.0
"119 PAYSON AVENUE New York, NY 10034",1.0,0.0,1.0
"119 REAR WEST 227 STREET New York, NY 10463",0.0,1.0,-1.0
"119 SOUTH STREET New York, NY 10038",1.0,2.0,-1.0
"119 ST MARKS PLACE New York, NY 10009",5.0,1.0,4.0
"119 VARICK STREET New York, NY 10013",1.0,0.0,1.0
"119 VERMILYEA AVENUE New York, NY 10034",8.0,4.0,4.0
"119 WEST 104 STREET New York, NY 10025",1.0,0.0,1.0
"119 WEST 106 STREET New York, NY 10025",0.0,2.0,-2.0
"119 WEST 117 STREET New York, NY 10026",0.0,2.0,-2.0
"119 WEST 118 STREET New York, NY 10026",0.0,1.0,-1.0
"119 WEST 119 STREET New York, NY 10026",0.0,2.0,-2.0
"119 WEST 120 STREET New York, NY 10027",0.0,1.0,-1.0
"119 WEST 129 STREET New York, NY 10027",2.0,4.0,-2.0
"119 WEST 130 STREET New York, NY 10027",0.0,1.0,-1.0
"119 WEST 133 STREET New York, NY 10030",1.0,2.0,-1.0
"119 WEST 135 STREET New York, NY 10030",1.0,0.0,1.0
"119 WEST 137 STREET New York, NY 10030",0.0,2.0,-2.0
"119 WEST 15 STREET New York, NY 10011",4.0,6.0,-2.0
"119 WEST 45 STREET New York, NY 10036",0.0,2.0,-2.0
"119 WEST 69 STREET New York, NY 10023",2.0,0.0,2.0
"119 WEST 80 STREET New York, NY 10024",1.0,1.0,0.0
"119 WEST 82 STREET New York, NY 10024",0.0,1.0,-1.0
"119 WEST 85 STREET New York, NY 10024",0.0,2.0,-2.0
"119 WEST 88 STREET New York, NY 10024",2.0,3.0,-1.0
"119 WEST 92 STREET New York, NY 10025",0.0,1.0,-1.0
"119 WEST 95 STREET New York, NY 10025",0.0,1.0,-1.0
"119 WEST 96 STREET New York, NY 10025",2.0,10.0,-8.0
"1190 1 AVENUE New York, NY 10065",1.0,5.0,-4.0
"1190 LEXINGTON AVENUE New York, NY 10028",0.0,1.0,-1.0
"1194 YORK AVENUE New York, NY 10065",0.0,1.0,-1.0
"1197 PARK AVENUE New York, NY 10128",0.0,1.0,-1.0
"1198 1 AVENUE New York, NY 10065",1.0,1.0,0.0
"1199 1 AVENUE New York, NY 10065",6.0,2.0,4.0
"12 5 AVENUE New York, NY 10011",1.0,0.0,1.0
"12 BANK STREET New York, NY 10014",0.0,1.0,-1.0
"12 BOWERY New York, NY 10013",0.0,2.0,-2.0
"12 CHARLES STREET New York, NY 10014",8.0,7.0,1.0
"12 DONGAN PLACE New York, NY 10040",18.0,2.0,16.0
"12 EAST 11 STREET New York, NY 10003",0.0,1.0,-1.0
"12 EAST 116 STREET New York, NY 10029",20.0,33.0,-13.0
"12 EAST 118 STREET New York, NY 10035",0.0,1.0,-1.0
"12 EAST 126 STREET New York, NY 10035",0.0,2.0,-2.0
"12 EAST 127 STREET New York, NY 10035",0.0,2.0,-2.0
"12 EAST 128 STREET New York, NY 10035",1.0,0.0,1.0
"12 EAST 129 STREET New York, NY 10035",0.0,1.0,-1.0
"12 EAST 132 STREET New York, NY 10037",1.0,2.0,-1.0
"12 EAST 22 STREET New York, NY 10010",1.0,2.0,-1.0
"12 EAST 31 STREET New York, NY 10016",0.0,1.0,-1.0
"12 EAST 33 STREET New York, NY 10016",1.0,0.0,1.0
"12 EAST 62 STREET New York, NY 10065",0.0,2.0,-2.0
"12 EAST 64 STREET New York, NY 10065",7.0,6.0,1.0
"12 EAST 69 STREET New York, NY 10021",0.0,1.0,-1.0
"12 EAST 72 STREET New York, NY 10021",0.0,1.0,-1.0
"12 EAST 75 STREET New York, NY 10021",1.0,1.0,0.0
"12 EAST 78 STREET New York, NY 10075",0.0,2.0,-2.0
"12 EAST 88 STREET New York, NY 10128",3.0,0.0,3.0
"12 EAST 92 STREET New York, NY 10128",0.0,1.0,-1.0
"12 EAST 95 STREET New York, NY 10128",0.0,2.0,-2.0
"12 EAST 97 STREET New York, NY 10029",0.0,1.0,-1.0
"12 HARRISON STREET New York, NY 10013",1.0,2.0,-1.0
"12 JOHN STREET New York, NY 10038",16.0,9.0,7.0
"12 JONES STREET New York, NY 10014",3.0,1.0,2.0
"12 MONROE STREET New York, NY 10002",1.0,1.0,0.0
"12 OLD BROADWAY New York, NY 10027",0.0,1.0,-1.0
"12 PELL STREET New York, NY 10013",1.0,3.0,-2.0
"12 PINEHURST AVENUE New York, NY 10033",5.0,6.0,-1.0
"12 SPRING STREET New York, NY 10012",0.0,1.0,-1.0
"12 WEST 10 STREET New York, NY 10011",0.0,1.0,-1.0
"12 WEST 101 STREET New York, NY 10025",5.0,8.0,-3.0
"12 WEST 104 STREET New York, NY 10025",17.0,3.0,14.0
"12 WEST 107 STREET New York, NY 10025",0.0,1.0,-1.0
"12 WEST 119 STREET New York, NY 10026",1.0,0.0,1.0
"12 WEST 121 STREET New York, NY 10027",0.0,1.0,-1.0
"12 WEST 127 STREET New York, NY 10027",0.0,2.0,-2.0
"12 WEST 128 STREET New York, NY 10027",0.0,1.0,-1.0
"12 WEST 129 STREET New York, NY 10027",4.0,0.0,4.0
"12 WEST 13 STREET New York, NY 10011",0.0,2.0,-2.0
"12 WEST 142 STREET New York, NY 10037",1.0,0.0,1.0
"12 WEST 17 STREET New York, NY 10011",0.0,1.0,-1.0
"12 WEST 18 STREET New York, NY 10011",0.0,1.0,-1.0
"12 WEST 29 STREET New York, NY 10001",0.0,2.0,-2.0
"12 WEST 44 STREET New York, NY 10036",2.0,2.0,0.0
"12 WEST 55 STREET New York, NY 10019",0.0,1.0,-1.0
"12 WEST 72 STREET New York, NY 10023",2.0,0.0,2.0
"12 WEST 9 STREET New York, NY 10011",1.0,4.0,-3.0
"12 WEST 90 STREET New York, NY 10024",0.0,1.0,-1.0
"12 WEST 97 STREET New York, NY 10025",0.0,2.0,-2.0
"120 1 AVENUE New York, NY 10009",2.0,1.0,1.0
"120 2 AVENUE New York, NY 10003",1.0,1.0,0.0
"120 AUDUBON AVENUE New York, NY 10032",11.0,1.0,10.0
"120 CHRISTOPHER STREET New York, NY 10014",3.0,0.0,3.0
"120 EAST 10 STREET New York, NY 10003",0.0,1.0,-1.0
"120 EAST 102 STREET New York, NY 10029",8.0,14.0,-6.0
"120 EAST 106 STREET New York, NY 10029",1.0,0.0,1.0
"120 EAST 107 STREET New York, NY 10029",0.0,2.0,-2.0
"120 EAST 116 STREET New York, NY 10029",1.0,0.0,1.0
"120 EAST 12 STREET New York, NY 10003",0.0,1.0,-1.0
"120 EAST 20 STREET New York, NY 10003",0.0,2.0,-2.0
"120 EAST 30 STREET New York, NY 10016",0.0,1.0,-1.0
"120 EAST 31 STREET New York, NY 10016",5.0,1.0,4.0
"120 EAST 37 STREET New York, NY 10016",0.0,1.0,-1.0
"120 EAST 4 STREET New York, NY 10003",11.0,8.0,3.0
"120 EAST 59 STREET New York, NY 10022",1.0,0.0,1.0
"120 EAST 62 STREET New York, NY 10065",3.0,0.0,3.0
"120 EAST 64 STREET New York, NY 10065",1.0,0.0,1.0
"120 EAST 73 STREET New York, NY 10021",5.0,1.0,4.0
"120 EAST 79 STREET New York, NY 10075",7.0,0.0,7.0
"120 EAST 82 STREET New York, NY 10028",0.0,1.0,-1.0
"120 EAST 83 STREET New York, NY 10028",0.0,1.0,-1.0
"120 EAST 86 STREET New York, NY 10028",0.0,1.0,-1.0
"120 EAST 87 STREET New York, NY 10128",3.0,3.0,0.0
"120 EAST 88 STREET New York, NY 10128",1.0,3.0,-2.0
"120 EAST 90 STREET New York, NY 10128",0.0,1.0,-1.0
"120 ELIZABETH STREET New York, NY 10013",1.0,0.0,1.0
"120 FORSYTH STREET New York, NY 10002",12.0,12.0,0.0
"120 FRONT EAST 4 STREET New York, NY 10003",0.0,2.0,-2.0
"120 HAVEN AVENUE New York, NY 10032",2.0,10.0,-8.0
"120 HUDSON STREET New York, NY 10013",0.0,1.0,-1.0
"120 LENOX AVENUE New York, NY 10026",1.0,0.0,1.0
"120 LEXINGTON AVENUE New York, NY 10016",9.0,4.0,5.0
"120 LIBERTY STREET New York, NY 10006",1.0,0.0,1.0
"120 MAC DOUGAL STREET New York, NY 10012",21.0,30.0,-9.0
"120 MULBERRY STREET New York, NY 10013",2.0,1.0,1.0
"120 NASSAU STREET New York, NY 10038",0.0,2.0,-2.0
"120 ORCHARD STREET New York, NY 10002",1.0,0.0,1.0
"120 RIDGE STREET New York, NY 10002",2.0,1.0,1.0
"120 RIVERSIDE DRIVE New York, NY 10024",7.0,5.0,2.0
"120 SHERMAN AVENUE New York, NY 10034",35.0,15.0,20.0
"120 ST MARKS PLACE New York, NY 10009",1.0,0.0,1.0
"120 SULLIVAN STREET New York, NY 10012",1.0,0.0,1.0
"120 WAVERLY PLACE New York, NY 10011",0.0,2.0,-2.0
"120 WEST 100 STREET New York, NY 10025",11.0,18.0,-7.0
"120 WEST 105 STREET New York, NY 10025",2.0,2.0,0.0
"120 WEST 109 STREET New York, NY 10025",6.0,9.0,-3.0
"120 WEST 111 STREET New York, NY 10026",0.0,2.0,-2.0
"120 WEST 112 STREET New York, NY 10026",4.0,1.0,3.0
"120 WEST 114 STREET New York, NY 10026",0.0,2.0,-2.0
"120 WEST 116 STREET New York, NY 10026",22.0,24.0,-2.0
"120 WEST 117 STREET New York, NY 10026",0.0,1.0,-1.0
"120 WEST 118 STREET New York, NY 10026",0.0,2.0,-2.0
"120 WEST 119 STREET New York, NY 10026",0.0,1.0,-1.0
"120 WEST 12 STREET New York, NY 10011",0.0,1.0,-1.0
"120 WEST 120 STREET New York, NY 10027",1.0,1.0,0.0
"120 WEST 129 STREET New York, NY 10027",0.0,2.0,-2.0
"120 WEST 132 STREET New York, NY 10027",1.0,1.0,0.0
"120 WEST 136 STREET New York, NY 10030",0.0,2.0,-2.0
"120 WEST 138 STREET New York, NY 10030",33.0,47.0,-14.0
"120 WEST 139 STREET New York, NY 10030",0.0,2.0,-2.0
"120 WEST 140 STREET New York, NY 10030",0.0,2.0,-2.0
"120 WEST 15 STREET New York, NY 10011",0.0,2.0,-2.0
"120 WEST 17 STREET New York, NY 10011",0.0,1.0,-1.0
"120 WEST 20 STREET New York, NY 10011",0.0,1.0,-1.0
"120 WEST 228 STREET New York, NY 10463",1.0,2.0,-1.0
"120 WEST 25 STREET New York, NY 10001",1.0,1.0,0.0
"120 WEST 3 STREET New York, NY 10012",6.0,2.0,4.0
"120 WEST 70 STREET New York, NY 10023",0.0,1.0,-1.0
"120 WEST 73 STREET New York, NY 10023",0.0,1.0,-1.0
"120 WEST 74 STREET New York, NY 10023",0.0,2.0,-2.0
"120 WEST 78 STREET New York, NY 10024",1.0,0.0,1.0
"120 WEST 80 STREET New York, NY 10024",0.0,1.0,-1.0
"120 WEST 81 STREET New York, NY 10024",0.0,2.0,-2.0
"120 WEST 94 STREET New York, NY 10025",1.0,0.0,1.0
"1200 BROADWAY New York, NY 10001",0.0,1.0,-1.0
"1200 ST NICHOLAS AVENUE New York, NY 10032",2.0,15.0,-13.0
"1201 2 AVENUE New York, NY 10065",17.0,16.0,1.0
"1202 2 AVENUE New York, NY 10065",3.0,16.0,-13.0
"1205 1 AVENUE New York, NY 10065",13.0,25.0,-12.0
"1206 1 AVENUE New York, NY 10065",1.0,0.0,1.0
"1207 1 AVENUE New York, NY 10065",0.0,1.0,-1.0
"1209 1 AVENUE New York, NY 10065",0.0,1.0,-1.0
"121 2 AVENUE New York, NY 10003",1.0,4.0,-3.0
"121 AMSTERDAM AVENUE New York, NY 10023",2.0,0.0,2.0
"121 BENNETT AVENUE New York, NY 10033",2.0,0.0,2.0
"121 EAST 10 STREET New York, NY 10003",3.0,6.0,-3.0
"121 EAST 101 STREET New York, NY 10029",0.0,4.0,-4.0
"121 EAST 106 STREET New York, NY 10029",0.0,1.0,-1.0
"121 EAST 115 STREET New York, NY 10029",0.0,2.0,-2.0
"121 EAST 119 STREET New York, NY 10035",2.0,1.0,1.0
"121 EAST 30 STREET New York, NY 10016",1.0,0.0,1.0
"121 EAST 77 STREET New York, NY 10075",0.0,1.0,-1.0
"121 EAST 89 STREET New York, NY 10128",0.0,1.0,-1.0
"121 EAST 97 STREET New York, NY 10029",0.0,2.0,-2.0
"121 EAST BROADWAY New York, NY 10002",3.0,0.0,3.0
"121 EDGECOMBE AVENUE New York, NY 10030",0.0,1.0,-1.0
"121 FT GEORGE AVENUE New York, NY 10040",12.0,4.0,8.0
"121 GREENE STREET New York, NY 10012",1.0,0.0,1.0
"121 HENRY STREET New York, NY 10002",5.0,21.0,-16.0
"121 LENOX AVENUE New York, NY 10026",2.0,0.0,2.0
"121 MULBERRY STREET New York, NY 10013",0.0,1.0,-1.0
"121 POST AVENUE New York, NY 10034",10.0,31.0,-21.0
"121 READE STREET New York, NY 10013",1.0,0.0,1.0
"121 REAR MULBERRY STREET New York, NY 10013",0.0,1.0,-1.0
"121 REAR WEST 227 STREET New York, NY 10463",0.0,2.0,-2.0
"121 SEAMAN AVENUE New York, NY 10034",16.0,16.0,0.0
"121 ST MARKS PLACE New York, NY 10009",5.0,13.0,-8.0
"121 ST NICHOLAS AVENUE New York, NY 10026",6.0,0.0,6.0
"121 SUFFOLK STREET New York, NY 10002",1.0,0.0,1.0
"121 VERMILYEA AVENUE New York, NY 10034",31.0,64.0,-33.0
"121 WEST 105 STREET New York, NY 10025",1.0,0.0,1.0
"121 WEST 111 STREET New York, NY 10026",0.0,1.0,-1.0
"121 WEST 115 STREET New York, NY 10026",4.0,4.0,0.0
"121 WEST 116 STREET New York, NY 10026",1.0,1.0,0.0
"121 WEST 118 STREET New York, NY 10026",0.0,2.0,-2.0
"121 WEST 119 STREET New York, NY 10026",0.0,2.0,-2.0
"121 WEST 120 STREET New York, NY 10027",12.0,10.0,2.0
"121 WEST 122 STREET New York, NY 10027",3.0,20.0,-17.0
"121 WEST 130 STREET New York, NY 10027",0.0,2.0,-2.0
"121 WEST 131 STREET New York, NY 10027",0.0,1.0,-1.0
"121 WEST 132 STREET New York, NY 10027",0.0,1.0,-1.0
"121 WEST 133 STREET New York, NY 10030",2.0,1.0,1.0
"121 WEST 136 STREET New York, NY 10030",0.0,2.0,-2.0
"121 WEST 144 STREET New York, NY 10030",0.0,2.0,-2.0
"121 WEST 19 STREET New York, NY 10011",1.0,0.0,1.0
"121 WEST 20 STREET New York, NY 10011",0.0,2.0,-2.0
"121 WEST 26 STREET New York, NY 10001",1.0,0.0,1.0
"121 WEST 69 STREET New York, NY 10023",0.0,2.0,-2.0
"121 WEST 72 STREET New York, NY 10023",0.0,1.0,-1.0
"121 WEST 80 STREET New York, NY 10024",0.0,1.0,-1.0
"121 WEST 82 STREET New York, NY 10024",0.0,1.0,-1.0
"121 WEST 88 STREET New York, NY 10024",0.0,1.0,-1.0
"121 WEST 92 STREET New York, NY 10025",2.0,2.0,0.0
"1210 2 AVENUE New York, NY 10065",4.0,0.0,4.0
"1211 1 AVENUE New York, NY 10065",0.0,1.0,-1.0
"1211 AMSTERDAM AVENUE New York, NY 10027",1.0,0.0,1.0
"1212 5 AVENUE New York, NY 10029",1.0,1.0,0.0
"1213 YORK AVENUE New York, NY 10065",6.0,12.0,-6.0
"1218 2 AVENUE New York, NY 10065",0.0,1.0,-1.0
"1218 3 AVENUE New York, NY 10021",1.0,0.0,1.0
"1219 1 AVENUE New York, NY 10065",2.0,0.0,2.0
"122 AVENUE C New York, NY 10009",0.0,1.0,-1.0
"122 CHRISTOPHER STREET New York, NY 10014",3.0,0.0,3.0
"122 DUANE STREET New York, NY 10007",0.0,2.0,-2.0
"122 EAST 102 STREET New York, NY 10029",3.0,5.0,-2.0
"122 EAST 103 STREET New York, NY 10029",4.0,18.0,-14.0
"122 EAST 107 STREET New York, NY 10029",0.0,2.0,-2.0
"122 EAST 116 STREET New York, NY 10029",6.0,1.0,5.0
"122 EAST 13 STREET New York, NY 10003",0.0,2.0,-2.0
"122 EAST 25 STREET New York, NY 10010",0.0,1.0,-1.0
"122 EAST 27 STREET New York, NY 10016",2.0,0.0,2.0
"122 EAST 28 STREET New York, NY 10016",0.0,1.0,-1.0
"122 EAST 37 STREET New York, NY 10016",0.0,2.0,-2.0
"122 EAST 7 STREET New York, NY 10009",4.0,1.0,3.0
"122 EAST 76 STREET New York, NY 10021",0.0,1.0,-1.0
"122 EAST 78 STREET New York, NY 10075",0.0,2.0,-2.0
"122 EAST 82 STREET New York, NY 10028",0.0,1.0,-1.0
"122 EAST 91 STREET New York, NY 10128",2.0,0.0,2.0
"122 EAST 93 STREET New York, NY 10128",1.0,6.0,-5.0
"122 HAMILTON PLACE New York, NY 10031",5.0,16.0,-11.0
"122 HESTER STREET New York, NY 10002",0.0,2.0,-2.0
"122 LEXINGTON AVENUE New York, NY 10016",16.0,4.0,12.0
"122 LUDLOW STREET New York, NY 10002",1.0,0.0,1.0
"122 MAC DOUGAL STREET New York, NY 10012",0.0,1.0,-1.0
"122 MANHATTAN AVENUE New York, NY 10025",0.0,1.0,-1.0
"122 NASSAU STREET New York, NY 10038",0.0,2.0,-2.0
"122 ORCHARD STREET New York, NY 10002",4.0,5.0,-1.0
"122 WEST 109 STREET New York, NY 10025",1.0,2.0,-1.0
"122 WEST 117 STREET New York, NY 10026",0.0,2.0,-2.0
"122 WEST 119 STREET New York, NY 10026",0.0,2.0,-2.0
"122 WEST 12 STREET New York, NY 10011",1.0,0.0,1.0
"122 WEST 120 STREET New York, NY 10027",0.0,1.0,-1.0
"122 WEST 121 STREET New York, NY 10027",0.0,2.0,-2.0
"122 WEST 124 STREET New York, NY 10027",1.0,0.0,1.0
"122 WEST 13 STREET New York, NY 10011",0.0,1.0,-1.0
"122 WEST 130 STREET New York, NY 10027",2.0,2.0,0.0
"122 WEST 131 STREET New York, NY 10027",0.0,1.0,-1.0
"122 WEST 132 STREET New York, NY 10027",1.0,0.0,1.0
"122 WEST 137 STREET New York, NY 10030",1.0,6.0,-5.0
"122 WEST 139 STREET New York, NY 10030",0.0,2.0,-2.0
"122 WEST 71 STREET New York, NY 10023",0.0,2.0,-2.0
"122 WEST 73 STREET New York, NY 10023",1.0,3.0,-2.0
"122 WEST 75 STREET New York, NY 10023",1.0,1.0,0.0
"122 WEST 83 STREET New York, NY 10024",3.0,0.0,3.0
"122 WEST 89 STREET New York, NY 10024",1.0,0.0,1.0
"122 WEST 97 STREET New York, NY 10025",27.0,10.0,17.0
"1220 AMSTERDAM AVENUE New York, NY 10027",1.0,0.0,1.0
"1220 LEXINGTON AVENUE New York, NY 10028",0.0,2.0,-2.0
"1220 ST NICHOLAS AVENUE New York, NY 10032",1.0,0.0,1.0
"1224 ST NICHOLAS AVENUE New York, NY 10032",5.0,0.0,5.0
"1225 1 AVENUE New York, NY 10065",5.0,71.0,-66.0
"1225 MADISON AVENUE New York, NY 10128",0.0,1.0,-1.0
"1225 PARK AVENUE New York, NY 10128",1.0,0.0,1.0
"1226 YORK AVENUE New York, NY 10065",0.0,1.0,-1.0
"1227 MADISON AVENUE New York, NY 10128",0.0,1.0,-1.0
"1228 MADISON AVENUE New York, NY 10128",0.0,2.0,-2.0
"1228 ST NICHOLAS AVENUE New York, NY 10032",8.0,22.0,-14.0
"1229 1 AVENUE New York, NY 10065",10.0,16.0,-6.0
"123 1 AVENUE New York, NY 10003",0.0,1.0,-1.0
"123 2 AVENUE New York, NY 10003",1.0,3.0,-2.0
"123 3 AVENUE New York, NY 10003",0.0,1.0,-1.0
"123 ALLEN STREET New York, NY 10002",0.0,1.0,-1.0
"123 AVENUE A New York, NY 10009",0.0,1.0,-1.0
"123 BANK STREET New York, NY 10014",4.0,0.0,4.0
"123 CHAMBERS STREET New York, NY 10007",0.0,1.0,-1.0
"123 CHRYSTIE STREET New York, NY 10002",0.0,1.0,-1.0
"123 EAST 101 STREET New York, NY 10029",2.0,1.0,1.0
"123 EAST 110 STREET New York, NY 10029",1.0,0.0,1.0
"123 EAST 116 STREET New York, NY 10029",5.0,2.0,3.0
"123 EAST 129 STREET New York, NY 10035",72.0,63.0,9.0
"123 EAST 130 STREET New York, NY 10037",4.0,6.0,-2.0
"123 EAST 17 STREET New York, NY 10003",0.0,1.0,-1.0
"123 EAST 18 STREET New York, NY 10003",0.0,2.0,-2.0
"123 EAST 47 STREET New York, NY 10017",1.0,7.0,-6.0
"123 EAST 82 STREET New York, NY 10028",0.0,2.0,-2.0
"123 EAST 83 STREET New York, NY 10028",0.0,1.0,-1.0
"123 EAST 90 STREET New York, NY 10128",0.0,5.0,-5.0
"123 EDGECOMBE AVENUE New York, NY 10030",2.0,4.0,-2.0
"123 FULTON STREET New York, NY 10038",0.0,1.0,-1.0
"123 GREENWICH AVENUE New York, NY 10014",5.0,12.0,-7.0
